N,Key,Operation,Probe Count,Traverse count
0,1478275324,Insert,1,1
1,273142630,Insert,1,1
2,1749281991,Insert,1,1
3,417286871,Search,1,2
4,252465950,Insert,1,2
5,853576023,Insert,1,2
6,300318428,Insert,1,3
7,781118104,Insert,1,4
8,617658934,Insert,1,5
9,795768053,Search,1,5
10,733881946,Insert,1,6
11,1425102275,Insert,1,3
12,672241340,Insert,1,7
13,2030211758,Insert,1,2
14,47445183,Insert,1,3
15,1934352113,Search,1,3
16,1849529072,Insert,1,3
17,1045322659,Search,1,4
18,2143288358,Search,1,3
19,1246679247,Insert,1,4
20,1646089013,Search,1,2
21,1919876459,Insert,1,4
22,1549153768,Insert,1,2
23,1788778294,Insert,1,4
24,97799516,Insert,1,4
25,1205694926,Insert,1,5
26,1772837447,Insert,1,5
27,958311428,Search,1,6
28,167512383,Search,1,5
29,283977137,Insert,1,4
30,795939348,Insert,1,5
31,111356598,Insert,1,5
32,1107703297,Search,1,6
33,1940419813,Insert,1,5
34,235817141,Insert,1,6
35,187112054,Insert,1,7
36,1925031970,Insert,1,6
37,309273188,Insert,1,6
38,1132636233,Insert,1,6
39,371506966,Insert,1,7
40,1787548512,Insert,1,6
41,1904438494,Search,1,5
42,1405778863,Insert,1,5
43,2120788957,Insert,1,3
44,2040014463,Insert,1,4
45,111871238,Insert,1,8
46,273623738,Insert,1,5
47,673648919,Insert,1,8
48,553414083,Search,1,8
49,729530172,Insert,1,9
50,1007505684,Insert,1,7
51,2098751194,Insert,1,5
52,1401771512,Insert,1,6
53,1911399387,Search,1,5
54,890233794,Insert,1,8
55,1397347044,Search,1,7
56,2146196377,Insert,1,4
57,1103816937,Insert,1,8
58,407276915,Search,1,8
59,2136913042,Insert,1,5
60,1918589188,Insert,1,5
61,505487057,Insert,1,8
62,1778207688,Insert,1,7
63,2016388704,Insert,1,6
64,1711181983,Insert,1,3
65,1074378465,Search,1,9
66,1403561487,Insert,1,7
67,152882194,Insert,1,9
68,959290340,Search,1,9
69,359637684,Insert,1,8
70,1514918085,Insert,1,3
71,2093302007,Insert,1,6
72,797717558,Search,1,6
73,595454825,Insert,1,9
74,1702030139,Insert,1,4
75,949910627,Search,1,9
76,1869450692,Search,1,6
77,1870850329,Insert,1,6
78,1997230766,Search,1,7
79,3725709,Search,1,4
80,1354105053,Search,1,7
81,904728013,Insert,1,9
82,687182724,Insert,1,10
83,1706566107,Search,1,5
84,1569643685,Search,1,5
85,94873648,Insert,1,5
86,315695529,Search,1,9
87,544792878,Insert,1,10
88,1134388209,Search,1,7
89,1204580844,Search,1,7
90,2092961587,Insert,1,7
91,431847384,Search,1,9
92,68178957,Insert,1,6
